glytoucan_ac,pubchem_cid
G07309NH,168357818
G07322RE,71297599
G07328EF,91852401
G07334NT,156616143
G07337US,146017476
G07348OG,439991
G07352BK,91859022
G07357YR,70678913
G07368IA,71297933
G07368RR,102144864
G07371PE,146016846
G07375KG,91855310
G07376BS,91852571
G07380TS,91851253
G07392QY,91858488
G07394RV,91862239
G07395FZ,21604866
G07397MN,70680317
G07410AW,91852051
G07417LG,156614919
G07430HH,71298370
G07435LO,91858747
G07438VB,91850036
G07443RM,91846744
G07445MV,91846606
G07445YJ,24820129
G07456BZ,91859582
G07467EB,91846745
G07476BB,91855664
G07477PX,75986661
G07479EG,146015690
G07483YN,91857605
G07489IL,91861572
G07490EK,11013287
G07505DF,91851034
G07505KH,91853029
G07517TD,156614878
G07528DS,91846278
G07532UC,156615809
G07532ZA,91849823
G07533UM,91844980
G07539OP,91847387
G07547GE,91848657
G07554EB,91855689
G07558KL,91846340
G07568IR,91850585
G07569NS,156618439
G07570IW,156614722
G07578MJ,71298437
G07582KM,91852300
G07589QZ,91851677
G07597OQ,13242853
G07603FK,91850334
G07610JY,91855640
G07614GN,171122193
G07614RZ,168357873
G07617FP,91849820
G07619BL,91859286
G07626IW,146016904
G07626WD,91856117
G07627PD,91853128
G07646UD,91848371
G07666IB,91854491
G07669FN,156614788
G07670VS,5288972
G07674LF,91861650
G07675NG,78225279
G07677VL,91858074
G07680WY,91846149
G07680YZ,91848908
G07689ET,91848899
G07692KY,91847555
G07695IB,91862489
G07695ZT,91856133
G07696MJ,91861827
G07699XI,91850346
G07703ST,91861273
G07707SU,168357896
G07741OQ,91846746
G07800ED,156614823
G07801AF,210
G07802IC,146015722
G07810DU,91862566
G07815PK,91859157
G07817HH,91855322
G07819HC,156613061
G07819QF,91857240
G07822HH,91857373
G07829JQ,91851138
G07831RZ,91861651
G07842DQ,91845098
G07860ZO,91846001
G07865ET,91859273
G07869UA,146017116
G07887XY,91852579
G07891AD,91859782
G07895OH,168357944
G07904XW,71298190
G07920ZX,156618913
G07923CD,91849926
G07932PU,92136195
G07943WF,168357954
G07947TY,146015969
G07957RU,91848632
G07982RO,439544
G07986NM,168357962
G07990UY,91856781
G07995VK,91861784
G08005PG,91855915
G08009LH,91849491
G08016YO,91857254
G08043ID,71297432
G08046LM,91853076
G08055MG,91859171
G08059ZN,146017470
G08060FN,56836040
G08060JF,91855560
G08062CY,156614892
G08064FX,91859272
G08066KX,91847827
G08076GP,91858217
G08078RH,71298038
G08079IN,146015535
G08080ND,91851998
G08091PP,168357982
G08107SW,91850106
G08111FJ,91851000
G08113XU,71297801
G08115PN,168357991
G08131WI,146016976
G08140FC,91855942
G08143BZ,11768454
G08147LK,91846280
G08157XK,91828223
G08161JQ,91851702
G08161XL,156618354
G08176ZW,70678933
G08187GM,146017587
G08190JB,156615138
G08191RW,91851262
G08194HH,156614530
G08201TX,91850398
G08205LJ,156614645
G08214IK,440518
G08242BT,91855690
G08243ZM,168358023
G08244HV,70698369
G08244KE,91855347
G08244YE,91862069
G08254PX,25233220
G08256ZY,168358025
G08264JX,171122230
G08265CU,146017818
G08274JD,156615951
G08275KQ,16727144
G08275XK,171122233
G08300EX,156618422
G08301LT,156614796
G08304AG,91858050
G08313BV,18635180
G08324ZK,71298075
G08326JL,91857860
G08340FW,91853832
G08342QX,76460712
G08348BC,91855795
G08354GM,146015933
G08358DN,71298399
G08358SM,156615745
G08364MT,91851971
G08371CD,11409652
G08371QU,156614705
G08371VN,91861635
G08373SM,71297795
G08396BF,71296168
G08414OH,49820769
G08418PB,91850066
G08425VQ,156614909
G08429SS,91861079
G08431YY,71297272
G08450OR,91858575
G08454FN,21633294
G08456TO,91851752
G08463CD,91850439
G08465VN,91850548
G08466KH,156618560
G08474BX,9831623
G08474XG,91848080
G08485TO,91857541
G08493GY,91857078
G08497KY,90658168
G08520NM,91858075
G08535US,91848240
G08539FO,11336802
G08540DD,91851280
G08545ST,443265
G08561XZ,91848349
G08569VN,91856703
G08577ZR,91853755
G08578PP,86291096
G08601JS,171122251
G08620RR,162912737
G08627LE,146017133
G08646IB,71297688
G08649GN,56836838
G08664LZ,91845411
G08675PK,91855423
G08700OQ,91850416
G08703BV,91854001
G08709JB,146015421
G08715FO,146016774
G08723AU,91860731
G08731KN,91862437
G08732TG,168358118
G08737TR,171122257
G08739AJ,156617273
G08743FB,91860099
G08744DM,91858226
G08748CW,91849762
G08749FU,91862930
G08770RO,91845934
G08771DC,91852637
G08772KU,91845391
G08776GA,91846747
G08784DO,91848368
G08785FX,91848667
G08795GE,91851773
G08796XG,91859292
G08798VY,131735084
